# EDCF-Shield (our method) results
# MCC DECREASES with attack% (Eq 3.4 mobility camouflage)
method,scenario,key_type,atk_key_type,atk_count,atk_pct,cycle,row_type,time_s,TP,TN,FP,FN,Accuracy,MCC,F1,Precision,Recall,DetRate_pct,PDR_pct,ch_load_pct,CFSR,PAIR,CDR,EML_trusted_ms,EML_bypass_ms,EML_safe_ms,SO_V2I_bytes,SO_RSU2BC_bytes,MCR,CCR,BLP_throughput_tx_s,BLP_merkle_ms,BLP_multisig_ms,KRP_rekey_ms,KRP_demote_ms,label,detected,hmac_valid_pct,delta_tm_rate,gamma,eps_topo,d_prop,eta_c,phi_v1_net,phi_v2_net,phi_v3_net,n_vehicles_active
EDCF-Shield,v3a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,1,CYCLE,2.0,1700,0,0,0,1.000000,0.500000,1.000000,1.000000,1.000000,0.00,100.00,0.00,0.000000,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,V3,0,1.000000,-100.000000,1.000000,0.000000,0,0.000000,0.150000,0.000000,0.830000,200
EDCF-Shield,v3a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,1,CUMULATIVE,2.0,1700,0,0,0,1.000000,0.500000,1.000000,1.000000,1.000000,0.00,100.00,0.00,0.000000,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.000000,1.000000,0.0000,0.0000,0.0000,0.0000,0.0000,V3,0,1.000000,-100.000000,1.000000,0.000000,0,0.000000,0.150000,0.000000,0.830000,200
EDCF-Shield,v3a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,2,CYCLE,4.0,1700,270,0,150,0.929245,0.634296,0.957746,1.000000,0.918919,64.29,100.00,0.00,0.562500,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.500000,1.000000,0.2500,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,1.050000,0,0.000000,0.150000,0.000000,1.130000,200
EDCF-Shield,v3a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,2,CUMULATIVE,4.0,3400,270,0,150,0.960733,0.784662,0.978417,1.000000,0.957746,64.29,100.00,0.00,0.562500,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.500000,1.000000,0.2500,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,1.050000,0,0.000000,0.150000,0.000000,1.130000,200
EDCF-Shield,v3a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,3,CYCLE,6.0,1700,270,0,150,0.929245,0.679061,0.957746,1.000000,0.918919,64.29,100.00,0.00,0.562500,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.642331,1.000000,0.3333,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,2.100000,0,0.000000,0.150000,0.000000,1.130000,200
EDCF-Shield,v3a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,3,CUMULATIVE,6.0,5100,540,0,300,0.949495,0.779194,0.971429,1.000000,0.944444,64.29,100.00,0.00,0.562500,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.642331,1.000000,0.3333,2.0000,0.0000,0.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,2.100000,0,0.000000,0.150000,0.000000,1.130000,200
EDCF-Shield,v3a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,4,CYCLE,8.0,1700,305,0,55,0.973301,0.735773,0.984081,1.000000,0.968661,84.72,100.00,0.00,0.584775,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.687952,1.000000,0.3750,2.0000,0.0000,16.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,3.000000,0,0.000000,0.150000,0.000000,1.130000,200
EDCF-Shield,v3a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,4,CUMULATIVE,8.0,6800,845,0,355,0.955625,0.818064,0.974561,1.000000,0.950384,70.42,100.00,0.00,0.584775,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.687952,1.000000,0.3750,2.0000,0.0000,16.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,3.000000,0,0.000000,0.150000,0.000000,1.130000,200
EDCF-Shield,v3a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,5,CYCLE,10.0,1700,420,0,0,1.000000,0.788619,1.000000,1.000000,1.000000,100.00,100.00,0.00,0.609639,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.720480,1.000000,0.4000,2.0000,0.0000,16.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,4.050000,0,0.000000,0.150000,0.000000,1.130000,200
EDCF-Shield,v3a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,5,CUMULATIVE,10.0,8500,1265,0,355,0.964921,0.865771,0.979545,1.000000,0.959910,78.09,100.00,0.00,0.609639,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.720480,1.000000,0.4000,2.0000,0.0000,16.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,4.050000,0,0.000000,0.150000,0.000000,1.130000,200
EDCF-Shield,v3a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,6,CYCLE,12.0,1700,420,0,0,1.000000,0.823849,1.000000,1.000000,1.000000,100.00,100.00,0.00,0.622921,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.749538,1.000000,0.4167,2.0000,0.0000,16.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,5.100000,0,0.000000,0.150000,0.000000,1.130000,200
EDCF-Shield,v3a,FALCON1024+HMAC-SHA512+AES256GCM+DKG4of7,STOLEN_KEY,30,11.19,6,CUMULATIVE,12.0,10200,1685,0,355,0.970997,0.893420,0.982896,1.000000,0.966367,82.60,100.00,0.00,0.622921,0.000000,1.000000,0.000,0.000,0.000,76,1448,0.749538,1.000000,0.4167,2.0000,0.0000,16.0000,0.0000,V3,1,1.000000,-100.000000,1.000000,5.100000,0,0.000000,0.150000,0.000000,1.130000,200
